,study_trend,model,MAE,AIC
0,FIR_up,Exponential,0.009226931702946086,24.7425148491322
1,FIR_up,LogisticVerhulst,0.0028444442944858756,29.4495502302106
2,FIR_up,Gompertz,0.2827364289673336,11.052960646866472
3,FIR_up,GeneralGompertz,0.47208838292709665,11.002356235847419
4,FIR_up,ClassicBertalanffy,0.003046356556227635,29.175235896643986
5,FIR_up,GeneralBertalanffy,0.00040065710091297807,39.28961842566187
6,FIR_down,Exponential,0.0007924578402505051,34.5614850082
7,FIR_down,LogisticVerhulst,0.000846500810499341,34.29759759568151
8,FIR_down,Gompertz,0.18161438291655754,12.823478459475272
9,FIR_down,GeneralGompertz,0.1800372650602539,14.858365685627067
10,FIR_down,ClassicBertalanffy,0.0007982623723278194,34.53229290869989
11,FIR_down,GeneralBertalanffy,0.0007302867879178029,36.888292963239245
12,FIR_fluctuate,Exponential,0.002026306517840093,30.806162369906758
13,FIR_fluctuate,LogisticVerhulst,0.00160219691330183,31.745518082889923
14,FIR_fluctuate,Gompertz,0.3019044632217952,10.790578634412865
15,FIR_fluctuate,GeneralGompertz,0.18872057832439915,14.66995111772008
16,FIR_fluctuate,ClassicBertalanffy,0.0016185975517569397,31.70478085388849
17,FIR_fluctuate,GeneralBertalanffy,0.001416282667288085,34.238878719367065
18,POPULAR_up,Exponential,0.0026859722381141144,29.67885006682944
19,POPULAR_up,LogisticVerhulst,0.0025882160857189115,29.82714564229766
20,POPULAR_up,Gompertz,0.10588192768547974,14.98172278186386
21,POPULAR_up,GeneralGompertz,0.08875985796057885,17.68728312473158
22,POPULAR_up,ClassicBertalanffy,0.0037340829358537097,28.361012092458804
23,POPULAR_up,GeneralBertalanffy,0.0028177696269933387,31.487238477528248
24,POPULAR_down,Exponential,0.0020887610279859085,30.684736793450426
25,POPULAR_down,LogisticVerhulst,0.0014786591075658484,32.066478441124985
26,POPULAR_down,Gompertz,0.26969068534347224,11.241918346141242
27,POPULAR_down,GeneralGompertz,0.11350585715878508,16.70360335387581
28,POPULAR_down,ClassicBertalanffy,0.001451676174431056,32.140145631266236
29,POPULAR_down,GeneralBertalanffy,0.0015104754969694114,33.98132311628096
30,POPULAR_fluctuate,Exponential,0.002021570501579665,30.81552237446965
31,POPULAR_fluctuate,LogisticVerhulst,0.0019325690707174,30.99562014600959
32,POPULAR_fluctuate,Gompertz,0.17258330262898253,13.027500981139433
33,POPULAR_fluctuate,GeneralGompertz,0.23530118516814294,13.787555785691273
34,POPULAR_fluctuate,ClassicBertalanffy,0.002759771690401559,29.570429294174556
35,POPULAR_fluctuate,GeneralBertalanffy,0.0008085605891199139,36.4810197663772
36,BIRCH_up,Exponential,0.0009673024721520845,33.763997268219086
37,BIRCH_up,LogisticVerhulst,0.0008799311105253073,34.14266774820122
38,BIRCH_up,Gompertz,0.08280546364839547,15.965044934704707
39,BIRCH_up,GeneralGompertz,0.18036888272948745,14.851004706579346
40,BIRCH_up,ClassicBertalanffy,0.0014261655513614177,32.21106347521869
41,BIRCH_up,GeneralBertalanffy,0.0007807613716558828,36.620963987464
42,BIRCH_down,Exponential,0.0008471148293815459,34.29469720248888
43,BIRCH_down,LogisticVerhulst,0.0008750531800612784,34.16490358496252
44,BIRCH_down,Gompertz,0.10445456911561571,15.036012189646094
45,BIRCH_down,GeneralGompertz,0.09436322846777415,17.442415242639434
46,BIRCH_down,ClassicBertalanffy,0.0009072488660755249,34.02037504687896
47,BIRCH_down,GeneralBertalanffy,0.000737819647475415,36.84724457337641
48,BIRCH_fluctuate,Exponential,0.0011076662364792518,33.221999866601976
49,BIRCH_fluctuate,LogisticVerhulst,0.0010247047980468896,33.53340283911101
50,BIRCH_fluctuate,Gompertz,0.16946379987741503,13.100463780062842
51,BIRCH_fluctuate,GeneralGompertz,0.10237876049256418,17.11630401982171
52,BIRCH_fluctuate,ClassicBertalanffy,0.0010991367671795362,33.2529206574815
53,BIRCH_fluctuate,GeneralBertalanffy,0.0007899360014576974,36.57423450639121
54,OAK_up,Exponential,0.002167768433080824,30.536228049676225
55,OAK_up,LogisticVerhulst,0.0016991908157771743,31.51041252783528
56,OAK_up,Gompertz,0.1584870886927435,13.368328593338278
57,OAK_up,GeneralGompertz,0.20502059628364536,14.338579340856596
58,OAK_up,ClassicBertalanffy,0.0027220909452065865,29.625419856561304
59,OAK_up,GeneralBertalanffy,0.0014812598953896708,34.059449090685206
60,OAK_down,Exponential,0.002207402615539004,30.46375496692154
61,OAK_down,LogisticVerhulst,0.002009774372761486,30.838931262277562
62,OAK_down,Gompertz,0.17997456436193401,12.859758988709467
63,OAK_down,GeneralGompertz,0.24617855592308766,13.606792677025574
64,OAK_down,ClassicBertalanffy,0.0020934166912081917,30.675831069288417
65,OAK_down,GeneralBertalanffy,0.002282949497845175,32.32914813056211
66,OAK_fluctuate,Exponential,0.0019470894468074493,30.965678451245786
67,OAK_fluctuate,LogisticVerhulst,0.001585163942327574,31.78826977342651
68,OAK_fluctuate,Gompertz,0.11625493952114377,14.607878979651616
69,OAK_fluctuate,GeneralGompertz,0.12160134635170944,16.42802895016028
70,OAK_fluctuate,ClassicBertalanffy,0.001577670662474554,31.807223135986746
71,OAK_fluctuate,GeneralBertalanffy,0.0017551144700414117,33.380884796386205
72,IMvigor 210_up,Exponential,0.00199939296719204,30.85964664358639
73,IMvigor 210_up,LogisticVerhulst,0.0019512921895592757,30.95705385822837
74,IMvigor 210_up,Gompertz,0.28373824038375856,11.038812618507203
75,IMvigor 210_up,GeneralGompertz,0.25825808017936164,13.415183533060908
76,IMvigor 210_up,ClassicBertalanffy,0.01258611324479318,23.500644784953817
77,IMvigor 210_up,GeneralBertalanffy,0.0006658681461125381,37.257675543337115
78,IMvigor 210_down,Exponential,0.0008711568051950537,34.18275427355381
79,IMvigor 210_down,LogisticVerhulst,0.001337721591292772,32.46714966873563
80,IMvigor 210_down,Gompertz,0.21294513883312235,12.186882842447211
81,IMvigor 210_down,GeneralGompertz,0.24643202874983838,13.602676275843669
82,IMvigor 210_down,ClassicBertalanffy,0.0010347937077182085,33.49421275338085
83,IMvigor 210_down,GeneralBertalanffy,0.001170934267288855,34.99981331907554
84,IMvigor 210_fluctuate,Exponential,0.003316846467044768,28.834963227119363
85,IMvigor 210_fluctuate,LogisticVerhulst,0.0032770016682416576,28.88330560075884
86,IMvigor 210_fluctuate,Gompertz,0.3112845132261797,10.668191805933436
87,IMvigor 210_fluctuate,GeneralGompertz,0.5227512462445304,10.59459822663967
88,IMvigor 210_fluctuate,ClassicBertalanffy,0.003694960818598276,28.403141314143273
89,IMvigor 210_fluctuate,GeneralBertalanffy,0.0016194587605236309,33.70265313601347
